,City,Latitude,Longitude,Max Temp (F),Humidity,Cloudiness,Wind Speed,Country,Date
0,Hilo,19.73,-155.09,80.6,61,1,5.82,US,1592430808
1,Punta Arenas,-53.15,-70.92,32.0,84,0,2.24,CL,1592430941
2,Andújar,38.04,-4.05,77.0,42,28,5.01,ES,1592430726
3,Hopelchén,19.77,-89.85,87.8,70,40,13.87,MX,1592430726
4,Jadu,31.95,12.03,78.35,24,0,16.71,LY,1592430727
5,Busselton,-33.65,115.33,51.01,66,19,18.5,AU,1592431095
6,Bathsheba,13.22,-59.52,84.2,70,40,19.46,BB,1592431096
7,Rikitea,-23.12,-134.97,75.38,79,42,16.24,PF,1592431097
8,Bredasdorp,-34.53,20.04,42.8,93,0,4.45,ZA,1592431144
9,Butaritari,3.07,172.79,82.78,76,2,13.44,KI,1592431145
10,Outlook,51.5,-107.05,52.14,88,100,11.21,CA,1592430729
11,Buala,-8.14,159.59,83.25,77,69,7.29,SB,1592430559
12,Livingston,55.9,-3.52,55.99,93,90,9.17,GB,1592430729
13,Kaitangata,-46.28,169.85,46.99,57,9,8.01,NZ,1592431148
14,Awjilah,29.11,21.29,70.95,58,0,12.73,LY,1592430576
15,Esperance,-33.87,121.9,55.4,87,75,12.75,AU,1592430978
16,Mirpur Sakro,24.55,67.63,86.0,70,40,13.87,PK,1592430730
17,Ucluelet,48.93,-125.55,61.0,72,75,10.29,CA,1592430730
18,Ribeira Grande,38.52,-28.7,63.45,79,91,10.98,PT,1592431150
19,Tasiilaq,65.61,-37.64,37.4,86,100,26.4,GL,1592430985
20,Sørland,67.67,12.69,50.97,77,0,21.03,NO,1592431151
21,Nikolskoye,59.7,30.79,64.99,82,0,8.95,RU,1592431067
22,Mar del Plata,-38.0,-57.56,60.8,100,90,4.7,AR,1592430941
23,New Norfolk,-42.78,147.06,33.01,89,0,2.89,AU,1592431070
24,Kawalu,-7.38,108.21,72.27,92,100,1.54,ID,1592430585
25,Port Alfred,-33.59,26.89,53.01,87,0,5.99,ZA,1592431072
26,Ushuaia,-54.8,-68.3,37.4,74,76,3.36,AR,1592430873
27,Hurghada,27.26,33.81,87.8,12,0,7.02,EG,1592431152
28,Aransas Pass,27.91,-97.15,88.0,62,75,13.87,US,1592430760
29,‘Ewa Beach,21.32,-158.01,87.8,48,75,8.05,US,1592431036
30,Mataura,-46.19,168.86,39.0,83,6,3.0,NZ,1592430956
31,Tuatapere,-46.13,167.68,39.0,83,24,3.0,NZ,1592430991
32,Aliaga,15.52,120.87,78.8,83,75,2.24,PH,1592430761
33,Novobessergenevka,47.18,38.85,75.0,53,96,4.0,RU,1592430761
34,Faanui,-16.48,-151.75,81.18,79,100,7.2,PF,1592431153
35,Kapaa,22.08,-159.32,82.4,65,75,14.99,US,1592430944
36,Guerrero Negro,27.98,-114.06,74.16,50,0,17.49,MX,1592431153
37,Acapulco de Juárez,16.86,-99.89,87.8,74,40,8.05,MX,1592431105
38,Mangan,27.52,88.53,75.99,56,94,2.59,IN,1592431154
39,Port Hardy,50.7,-127.42,57.2,76,75,5.82,CA,1592431154
40,Hobart,-42.88,147.33,36.0,80,20,8.05,AU,1592431154
